,Symbol,Name,Sector
0,MMM,3M Company,Industrials
1,AOS,A.O. Smith Corp,Industrials
2,ABT,Abbott Laboratories,Health Care
3,ABBV,AbbVie Inc.,Health Care
4,ABMD,Abiomed,Health Care
5,ACN,Accenture,Information Technology
6,ATVI,Activision Blizzard,Communication Services
7,ADBE,Adobe Inc.,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AMD,Advanced Micro Devices,Information Technology
10,AES,AES Corp,Utilities
11,AFL,Aflac,Financials
12,A,Agilent Technologies,Health Care
13,APD,Air Products & Chemicals,Materials
14,AKAM,Akamai Technologies,Information Technology
15,ALK,Alaska Air Group,Industrials
16,ALB,Albemarle Corporation,Materials
17,ARE,Alexandria Real Estate Equities,Real Estate
18,ALXN,Alexion Pharmaceuticals,Health Care
19,ALGN,Align Technology,Health Care
20,ALLE,Allegion,Industrials
21,LNT,Alliant Energy,Utilities
22,ALL,Allstate Corp,Financials
23,GOOGL,Alphabet Inc. (Class A),Communication Services
24,GOOG,Alphabet Inc. (Class C),Communication Services
25,MO,Altria Group Inc,Consumer Staples
26,AMZN,Amazon.com Inc.,Consumer Discretionary
27,AMCR,Amcor,Materials
28,AEE,Ameren Corp,Utilities
29,AAL,American Airlines Group,Industrials
30,AEP,American Electric Power,Utilities
31,AXP,American Express,Financials
32,AIG,American International Group,Financials
33,AMT,American Tower Corp.,Real Estate
34,AWK,American Water Works,Utilities
35,AMP,Ameriprise Financial,Financials
36,ABC,AmerisourceBergen,Health Care
37,AME,Ametek,Industrials
38,AMGN,Amgen Inc.,Health Care
39,APH,Amphenol Corp,Information Technology
40,ADI,Analog Devices Inc.,Information Technology
41,ANSS,ANSYS Inc.,Information Technology
42,ANTM,Anthem,Health Care
43,AON,Aon plc,Financials
44,APA,Apache Corporation,Energy
45,AAPL,Apple Inc.,Information Technology
46,AMAT,Applied Materials Inc.,Information Technology
47,APTV,Aptiv PLC,Consumer Discretionary
48,ADM,Archer-Daniels-Midland Co,Consumer Staples
49,ANET,Arista Networks,Information Technology
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant,Financials
52,T,AT&T Inc.,Communication Services
53,ATO,Atmos Energy,Utilities
54,ADSK,Autodesk Inc.,Information Technology
55,ADP,Automatic Data Processing,Information Technology
56,AZO,AutoZone Inc,Consumer Discretionary
57,AVB,AvalonBay Communities,Real Estate
58,AVY,Avery Dennison Corp,Materials
59,BKR,Baker Hughes Co,Energy
60,BLL,Ball Corp,Materials
61,BAC,Bank of America Corp,Financials
62,BAX,Baxter International Inc.,Health Care
63,BDX,Becton Dickinson,Health Care
64,BRK.B,Berkshire Hathaway,Financials
65,BBY,Best Buy Co. Inc.,Consumer Discretionary
66,BIO,Bio-Rad Laboratories,Health Care
67,BIIB,Biogen Inc.,Health Care
68,BLK,BlackRock,Financials
69,BA,Boeing Company,Industrials
70,BKNG,Booking Holdings Inc,Consumer Discretionary
71,BWA,BorgWarner,Consumer Discretionary
72,BXP,Boston Properties,Real Estate
73,BSX,Boston Scientific,Health Care
74,BMY,Bristol-Myers Squibb,Health Care
75,AVGO,Broadcom Inc.,Information Technology
76,BR,Broadridge Financial Solutions,Information Technology
78,CHRW,C. H. Robinson Worldwide,Industrials
79,COG,Cabot Oil & Gas,Energy
80,CDNS,Cadence Design Systems,Information Technology
81,CPB,Campbell Soup,Consumer Staples
82,COF,Capital One Financial,Financials
83,CAH,Cardinal Health Inc.,Health Care
84,KMX,Carmax Inc,Consumer Discretionary
85,CCL,Carnival Corp.,Consumer Discretionary
86,CARR,Carrier Global,Industrials
87,CTLT,Catalent,Health Care
88,CAT,Caterpillar Inc.,Industrials
89,CBOE,Cboe Global Markets,Financials
90,CBRE,CBRE Group,Real Estate
91,CDW,CDW,Information Technology
92,CE,Celanese,Materials
93,CNC,Centene Corporation,Health Care
94,CNP,CenterPoint Energy,Utilities
95,CERN,Cerner,Health Care
96,CF,CF Industries Holdings Inc,Materials
97,SCHW,Charles Schwab Corporation,Financials
98,CHTR,Charter Communications,Communication Services
99,CVX,Chevron Corp.,Energy
100,CMG,Chipotle Mexican Grill,Consumer Discretionary
101,CB,Chubb Limited,Financials
102,CHD,Church & Dwight,Consumer Staples
103,CI,Cigna,Health Care
104,CINF,Cincinnati Financial,Financials
105,CTAS,Cintas Corporation,Industrials
106,CSCO,Cisco Systems,Information Technology
107,C,Citigroup Inc.,Financials
108,CFG,Citizens Financial Group,Financials
109,CTXS,Citrix Systems,Information Technology
110,CME,CME Group Inc.,Financials
111,CMS,CMS Energy,Utilities
112,KO,Coca-Cola Company,Consumer Staples
113,CTSH,Cognizant Technology Solutions,Information Technology
114,CL,Colgate-Palmolive,Consumer Staples
115,CMCSA,Comcast Corp.,Communication Services
116,CMA,Comerica Inc.,Financials
117,CAG,Conagra Brands,Consumer Staples
118,COP,ConocoPhillips,Energy
119,ED,Consolidated Edison,Utilities
120,STZ,Constellation Brands,Consumer Staples
121,CPRT,Copart Inc,Industrials
122,GLW,Corning Inc.,Information Technology
123,CTVA,Corteva,Materials
124,COST,Costco Wholesale Corp.,Consumer Staples
125,CCI,Crown Castle,Real Estate
126,CSX,CSX Corp.,Industrials
127,CMI,Cummins Inc.,Industrials
128,CVS,CVS Health,Health Care
129,DHI,D. R. Horton,Consumer Discretionary
130,DHR,Danaher Corp.,Health Care
131,DRI,Darden Restaurants,Consumer Discretionary
132,DVA,DaVita Inc.,Health Care
133,DE,Deere & Co.,Industrials
134,DAL,Delta Air Lines Inc.,Industrials
135,XRAY,Dentsply Sirona,Health Care
136,DVN,Devon Energy,Energy
137,DXCM,DexCom,Health Care
138,FANG,Diamondback Energy,Energy
139,DLR,Digital Realty Trust Inc,Real Estate
140,DFS,Discover Financial Services,Financials
141,DISCA,Discovery Inc. (Series A),Communication Services
142,DISCK,Discovery Inc. (Series C),Communication Services
143,DISH,Dish Network,Communication Services
144,DG,Dollar General,Consumer Discretionary
145,DLTR,Dollar Tree,Consumer Discretionary
146,D,Dominion Energy,Utilities
147,DPZ,Domino's Pizza,Consumer Discretionary
148,DOV,Dover Corporation,Industrials
149,DOW,Dow Inc.,Materials
150,DTE,DTE Energy Co.,Utilities
151,DUK,Duke Energy,Utilities
152,DRE,Duke Realty Corp,Real Estate
153,DD,DuPont de Nemours Inc,Materials
154,DXC,DXC Technology,Information Technology
155,EMN,Eastman Chemical,Materials
156,ETN,Eaton Corporation,Industrials
157,EBAY,eBay Inc.,Consumer Discretionary
158,ECL,Ecolab Inc.,Materials
159,EIX,Edison Int'l,Utilities
160,EW,Edwards Lifesciences,Health Care
161,EA,Electronic Arts,Communication Services
162,EMR,Emerson Electric Company,Industrials
163,ENPH,Enphase Energy,Information Technology
164,ETR,Entergy Corp.,Utilities
165,EOG,EOG Resources,Energy
166,EFX,Equifax Inc.,Industrials
167,EQIX,Equinix,Real Estate
168,EQR,Equity Residential,Real Estate
169,ESS,Essex Property Trust Inc.,Real Estate
170,EL,Estée Lauder Companies,Consumer Staples
171,ETSY,Etsy,Consumer Discretionary
172,RE,Everest Re Group Ltd.,Financials
173,EVRG,Evergy,Utilities
174,ES,Eversource Energy,Utilities
175,EXC,Exelon Corp.,Utilities
176,EXPE,Expedia Group,Consumer Discretionary
177,EXPD,Expeditors,Industrials
178,EXR,Extra Space Storage,Real Estate
179,XOM,Exxon Mobil Corp.,Energy
180,FFIV,F5 Networks,Information Technology
181,FB,Facebook Inc.,Communication Services
182,FAST,Fastenal Co,Industrials
183,FRT,Federal Realty Investment Trust,Real Estate
184,FDX,FedEx Corporation,Industrials
185,FIS,Fidelity National Information Services,Information Technology
186,FITB,Fifth Third Bancorp,Financials
187,FRC,First Republic Bank,Financials
188,FE,FirstEnergy Corp,Utilities
189,FISV,Fiserv Inc,Information Technology
190,FLT,FleetCor Technologies Inc,Information Technology
191,FLIR,FLIR Systems,Information Technology
192,FLS,Flowserve Corporation,Industrials
193,FMC,FMC Corporation,Materials
194,F,Ford Motor Company,Consumer Discretionary
195,FTNT,Fortinet,Information Technology
196,FTV,Fortive Corp,Industrials
197,FBHS,Fortune Brands Home & Security,Industrials
198,FOXA,Fox Corporation (Class A),Communication Services
199,FOX,Fox Corporation (Class B),Communication Services
200,BEN,Franklin Resources,Financials
201,FCX,Freeport-McMoRan Inc.,Materials
202,GPS,Gap Inc.,Consumer Discretionary
203,GRMN,Garmin Ltd.,Consumer Discretionary
204,IT,Gartner Inc,Information Technology
205,GD,General Dynamics,Industrials
206,GE,General Electric,Industrials
207,GIS,General Mills,Consumer Staples
208,GM,General Motors,Consumer Discretionary
209,GPC,Genuine Parts,Consumer Discretionary
210,GILD,Gilead Sciences,Health Care
211,GPN,Global Payments Inc.,Information Technology
212,GL,Globe Life Inc.,Financials
213,GS,Goldman Sachs Group,Financials
214,GWW,Grainger (W.W.) Inc.,Industrials
215,HAL,Halliburton Co.,Energy
216,HBI,Hanesbrands Inc,Consumer Discretionary
217,HIG,Hartford Financial Svc.Gp.,Financials
218,HAS,Hasbro Inc.,Consumer Discretionary
219,HCA,HCA Healthcare,Health Care
220,PEAK,Healthpeak Properties,Real Estate
221,HSIC,Henry Schein,Health Care
222,HES,Hess Corporation,Energy
223,HPE,Hewlett Packard Enterprise,Information Technology
224,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
225,HFC,HollyFrontier Corp,Energy
226,HOLX,Hologic,Health Care
227,HD,Home Depot,Consumer Discretionary
228,HON,Honeywell Int'l Inc.,Industrials
229,HRL,Hormel Foods Corp.,Consumer Staples
230,HST,Host Hotels & Resorts,Real Estate
231,HWM,Howmet Aerospace,Industrials
232,HPQ,HP Inc.,Information Technology
233,HUM,Humana Inc.,Health Care
234,HBAN,Huntington Bancshares,Financials
235,HII,Huntington Ingalls Industries,Industrials
236,IEX,IDEX Corporation,Industrials
237,IDXX,Idexx Laboratories,Health Care
238,INFO,IHS Markit,Industrials
239,ITW,Illinois Tool Works,Industrials
240,ILMN,Illumina Inc,Health Care
241,INCY,Incyte,Health Care
242,IR,Ingersoll Rand,Industrials
243,INTC,Intel Corp.,Information Technology
244,ICE,Intercontinental Exchange,Financials
245,IBM,International Business Machines,Information Technology
246,IFF,International Flavors & Fragrances,Materials
247,IP,International Paper,Materials
248,IPG,Interpublic Group,Communication Services
249,INTU,Intuit Inc.,Information Technology
250,ISRG,Intuitive Surgical Inc.,Health Care
251,IVZ,Invesco Ltd.,Financials
252,IPGP,IPG Photonics Corp.,Information Technology
253,IQV,IQVIA Holdings Inc.,Health Care
254,IRM,Iron Mountain Incorporated,Real Estate
255,JBHT,J. B. Hunt Transport Services,Industrials
256,JKHY,Jack Henry & Associates,Information Technology
257,J,Jacobs Engineering Group,Industrials
258,SJM,JM Smucker,Consumer Staples
259,JNJ,Johnson & Johnson,Health Care
260,JCI,Johnson Controls International,Industrials
261,JPM,JPMorgan Chase & Co.,Financials
262,JNPR,Juniper Networks,Information Technology
263,KSU,Kansas City Southern,Industrials
264,K,Kellogg Co.,Consumer Staples
265,KEY,KeyCorp,Financials
266,KEYS,Keysight Technologies,Information Technology
267,KMB,Kimberly-Clark,Consumer Staples
268,KIM,Kimco Realty,Real Estate
269,KMI,Kinder Morgan,Energy
270,KLAC,KLA Corporation,Information Technology
271,KHC,Kraft Heinz Co,Consumer Staples
272,KR,Kroger Co.,Consumer Staples
273,LB,L Brands Inc.,Consumer Discretionary
274,LHX,L3Harris Technologies,Industrials
275,LH,Laboratory Corp. of America Holding,Health Care
276,LRCX,Lam Research,Information Technology
277,LW,Lamb Weston Holdings Inc,Consumer Staples
278,LVS,Las Vegas Sands,Consumer Discretionary
279,LEG,Leggett & Platt,Consumer Discretionary
280,LDOS,Leidos Holdings,Information Technology
281,LEN,Lennar Corp.,Consumer Discretionary
282,LLY,Lilly (Eli) & Co.,Health Care
283,LNC,Lincoln National,Financials
284,LIN,Linde plc,Materials
285,LYV,Live Nation Entertainment,Communication Services
286,LKQ,LKQ Corporation,Consumer Discretionary
